Fecha, Busqueda, Resultados encontrados
2026-05-17 22:37,1. Buscar registros por: hi,145 resultados
2026-05-17 22:37,2. Ver estadísticas generales (Vistas/Likes),1000 resultados
2026-05-17 22:38,3. Filtrar por umbral de vistas,14 resultados
2026-05-17 22:38,4. Analizar frecuencia de un idioma: {target},919 resultados
2026-05-17 22:38,5. Distribución por idioma,1000 resultados
2026-05-17 22:38,6. Distribución por tipo de contenido,1000 resultados
2026-05-17 22:38,7. Cargar resultados guardados,14 resultados
2026-05-17 22:39,8. Ver historial de consultas,8 resultados
2026-05-17 22:40,Salir,
2026-05-17 22:53,1. Buscar registros por: hi,145 resultados
2026-05-17 22:54,2. Ver estadísticas generales (Vistas/Likes),1000 resultados
2026-05-17 22:55,5. Distribución por idioma,1000 resultados
2026-05-17 22:56,4. Analizar frecuencia de un idioma: {target},20 resultados
